eventID;Agency;catalog;year;month;day;hour;minute;second;latitude;longitude;Depth;magnitude;magType;catalog
;CERES995;SARA;1745;;;;;;-1.4;-78.4;;5.89;Mw;sara
;CERES995;SARA;1746;2;9;13;0;0;-13.5;-72;;6.23;Mw;sara
;CERES995;SARA;1746;2;11;0;0;0;-14;-71.7;20;5.2;Mw;sara
;CERES995;SARA;1746;10;29;3;30;;-11.996;-77.198;30;8.6;Mw;sara
;CERES995;SARA;1747;1;8;14;0;0;-13.6;-71.9;;6.23;Mw;sara
;CERES995;SARA;1747;2;15;0;0;0;-13.8;-73.099;10;7.09;Mw;sara
;CERES995;SARA;1747;3;14;18;30;0;-8.58;-78.099;20;5.2;Mw;sara
;CERES995;SARA;1747;3;19;0;0;0;-13.5;-71.599;80;6.22;Mw;sara
;CERES995;SARA;1747;;;;;;-13.9;-70.349;20;7.09;Mw;sara
;CERES995;SARA;1749;1;20;;;;-4;-79.2;;6.32;Mw;sara
;CERES995;SARA;1751;4;25;;;;2.5;-76.5;;5.89;Mw;sara
;CERES995;SARA;1751;5;25;5;30;;-36.83;-73.03;;8.5;Mw;sara
;CERES995;SARA;1755;4;28;10;0;0;-0.21;-78.48;;6.32;Mw;sara
;BEAAL013;SARA;1757;2;22;;;;-0.92;-78.56;;6.15;Mw;sara
;CERES995;SARA;1759;9;3;4;15;0;-8.6;-79.799;50;6.02;Mw;sara
;CERES995;SARA;1759;;;;;;5.7;-76.599;;5.42;Mw;sara
;CERES995;SARA;1764;7;15;5;30;0;-0.22;-78.5;;4.95;Mw;sara
;CERES995;SARA;1765;;;;;;1.9;-76.799;;5.42;Mw;sara
;CERES995;SARA;1766;1;22;21;0;0;0.44;-77.969;;4.95;Mw;sara
;GOMAL015;SARA;1766;7;9;21;;;3.88;-76.671;;6.83;Mw;sara
;MOCQ007;SARA;1766;10;21;4;30;;11;-62.5;85;7.01;Mw;sara
;CERES995;SARA;1767;8;1;23;0;0;-20.309;-40.329;;2.99;Mw;sara
;CERES995;SARA;1768;4;3;2;30;0;-0.7;-78.4;;5.42;Mw;sara
;CERES995;SARA;1773;6;29;0;0;0;-27.35;-70.349;;6.8;Mw;sara
;CERES995;SARA;1775;3;17;0;0;0;-33.049;-71.629;;6.8;Mw;sara
;PALAL005;SARA;1775;12;26;10;15;0;9.6;-70.4;;6.1;Mw;sara
;CERES995;SARA;1776;1;3;0;0;0;-1.47;-78.439;;4.95;Mw;sara
;CERES995;SARA;1777;1;26;8;0;0;-11.8;-77.4;50;5.62;Mw;sara
;CERES995;SARA;1777;1;26;21;0;0;-12;-77;;6.23;Mw;sara
;CERES995;SARA;1782;5;22;16;;;-33;-69.2;30;7.01;Mw;sara
;CERES995;SARA;1784;5;13;12;36;;-16.5;-72;70;8.4;Mw;sara
;CERES995;SARA;1784;5;14;7;0;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;5;14;7;30;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;5;16;5;30;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;5;16;8;15;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;5;16;16;43;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;5;17;7;0;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;5;17;19;56;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;5;18;9;50;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;5;18;16;30;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;5;21;1;46;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;5;30;10;35;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;6;6;22;36;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;6;20;4;0;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;7;8;8;0;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;7;18;14;55;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;7;22;20;30;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;7;23;8;0;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;7;29;10;45;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;8;2;0;30;0;-16.199;-72.099;;6.23;Mw;sara
;CERES995;SARA;1784;12;2;13;0;0;-16.199;-72.099;;6.23;Mw;sara
;GOMAL015;SARA;1785;7;12;12;45;;4.788;-73.774;20;6.97;Mw;sara
;BEAAL013;SARA;1786;5;10;;;;-1.68;-78.78;;5.8;Mw;sara
;CERES995;SARA;1786;6;13;0;0;0;-1.67;-78.7;;4.95;Mw;sara
;CERES995;SARA;1786;6;23;2;30;0;-1.7;-78.7;;4.95;Mw;sara
;CERES995;SARA;1786;;;;;;8.5;-71.2;0;6.16;Mw;sara
;CERES995;SARA;1787;6;11;14;45;0;-2.2;-79.9;;5.42;Mw;sara
;CERES995;SARA;1789;5;9;0;0;0;-25.01;-47.939;;3.35;Mw;sara
;CERES995;SARA;1791;7;4;10;30;0;-11.8;-77.4;50;6.23;Mw;sara
;CERES995;SARA;1791;10;15;1;17;0;-10.8;-75.599;30;6.23;Mw;sara
;CERES995;SARA;1792;4;13;;;;6.2;-76.5;;5.89;Mw;sara
;CERES995;SARA;1792;7;12;2;50;0;-13.1;-75;;6.23;Mw;sara
;CERES995;SARA;1792;8;7;0;0;0;-18.5;-70.349;;6.8;Mw;sara
;CERES995;SARA;1794;9;7;0;0;0;-12.199;-77.4;40;5.2;Mw;sara
;FUN014;SARA;1794;10;9;0;0;0;10.1;-64.02;0;5.53;Mw;sara
;GOMAL015;SARA;1796;2;15;;;;7.38;-72.65;;5.74;Mw;sara
;CERES995;SARA;1796;3;30;10;45;;-27.35;-70.35;;7.51;Mw;sara
;BEAAL010;SARA;1797;2;4;12;45;;-1.5;-78.6;;7.6;Mw;sara
;CERES995;SARA;1797;2;6;21;0;0;-1.43;-78.549;;4.95;Mw;sara
;CERES995;SARA;1797;2;9;0;30;0;-1.43;-78.549;;5.42;Mw;sara
